"","obs_error","rate_of_change","replicate","sim_fisher_min_ts60","sim_log_fisher_min_ts60","regime_shift_time_ts60"
"1",0,6e-04,1,590,590,11.1525423728814
"2",0.05,6e-04,2,550,590,11.1525423728814
"3",0.1,6e-04,3,490,590,11.1525423728814
"4",0.15,6e-04,4,590,590,11.1525423728814
"5",0.2,6e-04,5,590,590,11.1525423728814
"6",0.25,6e-04,6,400,590,11.1525423728814
"7",0.3,6e-04,7,420,590,11.1525423728814
"8",0,7e-04,8,570,570,417.254237288136
"9",0.05,7e-04,9,590,570,417.254237288136
"10",0.1,7e-04,10,580,580,417.254237288136
"11",0.15,7e-04,11,590,590,417.254237288136
"12",0.2,7e-04,12,590,570,417.254237288136
"13",0.25,7e-04,13,590,590,417.254237288136
"14",0.3,7e-04,14,540,580,417.254237288136
"15",0,8e-04,15,540,510,366.491525423729
"16",0.05,8e-04,16,510,510,366.491525423729
"17",0.1,8e-04,17,430,540,366.491525423729
"18",0.15,8e-04,18,480,540,366.491525423729
"19",0.2,8e-04,19,560,500,366.491525423729
"20",0.25,8e-04,20,510,560,366.491525423729
"21",0.3,8e-04,21,530,540,366.491525423729
"22",0,9e-04,22,510,440,325.881355932203
"23",0.05,9e-04,23,430,470,325.881355932203
"24",0.1,9e-04,24,440,470,325.881355932203
"25",0.15,9e-04,25,530,500,325.881355932203
"26",0.2,9e-04,26,460,480,325.881355932203
"27",0.25,9e-04,27,500,530,325.881355932203
"28",0.3,9e-04,28,440,480,325.881355932203
"29",0,0.001,29,440,460,285.271186440678
"30",0.05,0.001,30,400,440,285.271186440678
"31",0.1,0.001,31,410,440,285.271186440678
"32",0.15,0.001,32,410,460,285.271186440678
"33",0.2,0.001,33,440,460,285.271186440678
"34",0.25,0.001,34,410,440,285.271186440678
"35",0.3,0.001,35,400,440,285.271186440678
"36",0,0.0011,36,410,410,264.966101694915
"37",0.05,0.0011,37,320,430,264.966101694915
"38",0.1,0.0011,38,310,410,264.966101694915
"39",0.15,0.0011,39,410,410,264.966101694915
"40",0.2,0.0011,40,410,410,264.966101694915
"41",0.25,0.0011,41,410,410,264.966101694915
"42",0.3,0.0011,42,380,410,264.966101694915
"43",0,0.0012,43,410,410,244.661016949153
"44",0.05,0.0012,44,420,410,244.661016949153
"45",0.1,0.0012,45,380,440,244.661016949153
"46",0.15,0.0012,46,380,380,244.661016949153
"47",0.2,0.0012,47,380,410,244.661016949153
"48",0.25,0.0012,48,360,380,244.661016949153
"49",0.3,0.0012,49,360,440,244.661016949153
"50",0,0.0013,50,280,340,224.35593220339
"51",0.05,0.0013,51,280,340,224.35593220339
"52",0.1,0.0013,52,280,330,224.35593220339
"53",0.15,0.0013,53,280,390,224.35593220339
"54",0.2,0.0013,54,300,340,224.35593220339
"55",0.25,0.0013,55,280,390,224.35593220339
"56",0.3,0.0013,56,280,370,224.35593220339
"57",0,0.0014,57,340,340,204.050847457627
"58",0.05,0.0014,58,340,370,204.050847457627
"59",0.1,0.0014,59,350,370,204.050847457627
"60",0.15,0.0014,60,350,260,204.050847457627
"61",0.2,0.0014,61,350,380,204.050847457627
"62",0.25,0.0014,62,350,310,204.050847457627
