"","obs_error","rate_of_change","replicate","sim_fisher_min","sim_log_fisher_min","regime_shift_time"
"1",0,6e-04,1,582,593,476
"2",0.05,6e-04,2,582,593,476
"3",0.1,6e-04,3,582,590,476
"4",0.15,6e-04,4,583,592,476
"5",0.2,6e-04,5,583,589,476
"6",0.25,6e-04,6,587,589,476
"7",0.3,6e-04,7,583,589,476
"8",0,7e-04,8,514,516,409
"9",0.05,7e-04,9,514,516,409
"10",0.1,7e-04,10,515,516,409
"11",0.15,7e-04,11,514,517,409
"12",0.2,7e-04,12,515,516,409
"13",0.25,7e-04,13,518,518,409
"14",0.3,7e-04,14,516,518,409
"15",0,8e-04,15,472,473,357
"16",0.05,8e-04,16,472,473,357
"17",0.1,8e-04,17,473,474,357
"18",0.15,8e-04,18,473,474,357
"19",0.2,8e-04,19,472,387,357
"20",0.25,8e-04,20,472,474,357
"21",0.3,8e-04,21,473,474,357
"22",0,9e-04,22,423,352,318
"23",0.05,9e-04,23,424,352,318
"24",0.1,9e-04,24,423,352,318
"25",0.15,9e-04,25,419,351,318
"26",0.2,9e-04,26,427,352,318
"27",0.25,9e-04,27,425,349,318
"28",0.3,9e-04,28,429,352,318
"29",0,0.001,29,393,317,285
"30",0.05,0.001,30,342,317,285
"31",0.1,0.001,31,393,317,285
"32",0.15,0.001,32,392,318,285
"33",0.2,0.001,33,387,315,285
"34",0.25,0.001,34,342,313,285
"35",0.3,0.001,35,342,313,285
"36",0,0.0011,36,367,368,260
"37",0.05,0.0011,37,367,368,260
"38",0.1,0.0011,38,367,368,260
"39",0.15,0.0011,39,368,369,260
"40",0.2,0.0011,40,368,368,260
"41",0.25,0.0011,41,371,370,260
"42",0.3,0.0011,42,369,368,260
"43",0,0.0012,43,336,336,239
"44",0.05,0.0012,44,336,336,239
"45",0.1,0.0012,45,336,336,239
"46",0.15,0.0012,46,337,336,239
"47",0.2,0.0012,47,337,337,239
"48",0.25,0.0012,48,336,336,239
"49",0.3,0.0012,49,337,337,239
"50",0,0.0013,50,316,246,220
"51",0.05,0.0013,51,317,246,220
"52",0.1,0.0013,52,271,246,220
"53",0.15,0.0013,53,271,244,220
"54",0.2,0.0013,54,271,246,220
"55",0.25,0.0013,55,316,246,220
"56",0.3,0.0013,56,113,247,220
"57",0,0.0014,57,300,300,204
"58",0.05,0.0014,58,300,300,204
"59",0.1,0.0014,59,300,300,204
"60",0.15,0.0014,60,301,300,204
"61",0.2,0.0014,61,300,300,204
"62",0.25,0.0014,62,302,301,204
"63",0.3,0.0014,63,303,301,204
"64",0,0.0015,64,293,212,190
"65",0.05,0.0015,65,294,212,190
"66",0.1,0.0015,66,294,212,190
"67",0.15,0.0015,67,240,211,190
"68",0.2,0.0015,68,106,211,190
"69",0.25,0.0015,69,236,211,190
"70",0.3,0.0015,70,240,213,190
"71",0,0.0016,71,268,270,180
"72",0.05,0.0016,72,268,270,180
"73",0.1,0.0016,73,268,270,180
"74",0.15,0.0016,74,267,269,180
"75",0.2,0.0016,75,271,271,180
"76",0.25,0.0016,76,268,271,180
"77",0.3,0.0016,77,269,271,180
"78",0,6e-04,78,582,593,476
"79",0.05,6e-04,79,582,594,476
"80",0.1,6e-04,80,583,590,476
"81",0.15,6e-04,81,552,594,476
"82",0.2,6e-04,82,552,599,476
"83",0.25,6e-04,83,584,590,476
"84",0.3,6e-04,84,584,587,476
"85",0,7e-04,85,514,516,409
"86",0.05,7e-04,86,514,516,409
"87",0.1,7e-04,87,514,517,409
"88",0.15,7e-04,88,516,516,409
"89",0.2,7e-04,89,515,520,409
"90",0.25,7e-04,90,515,517,409
"91",0.3,7e-04,91,516,516,409
"92",0,8e-04,92,472,473,357
"93",0.05,8e-04,93,472,474,357
"94",0.1,8e-04,94,473,474,357
"95",0.15,8e-04,95,475,474,357
"96",0.2,8e-04,96,474,473,357
"97",0.25,8e-04,97,473,474,357
"98",0.3,8e-04,98,476,476,357
"99",0,9e-04,99,423,352,318
"100",0.05,9e-04,100,422,352,318
"101",0.1,9e-04,101,425,352,318
"102",0.15,9e-04,102,422,352,318
"103",0.2,9e-04,103,431,350,318
"104",0.25,9e-04,104,422,348,318
"105",0.3,9e-04,105,419,352,318
"106",0,0.001,106,393,317,285
"107",0.05,0.001,107,394,317,285
"108",0.1,0.001,108,391,317,285
"109",0.15,0.001,109,342,316,285
"110",0.2,0.001,110,391,316,285
"111",0.25,0.001,111,385,317,285
"112",0.3,0.001,112,342,318,285
"113",0,0.0011,113,367,368,260
"114",0.05,0.0011,114,367,368,260
"115",0.1,0.0011,115,368,368,260
"116",0.15,0.0011,116,368,368,260
"117",0.2,0.0011,117,367,368,260
"118",0.25,0.0011,118,367,368,260
"119",0.3,0.0011,119,372,370,260
"120",0,0.0012,120,336,336,239
"121",0.05,0.0012,121,336,336,239
"122",0.1,0.0012,122,336,336,239
"123",0.15,0.0012,123,336,336,239
"124",0.2,0.0012,124,336,336,239
"125",0.25,0.0012,125,336,337,239
"126",0.3,0.0012,126,336,336,239
"127",0,0.0013,127,316,246,220
"128",0.05,0.0013,128,316,245,220
"129",0.1,0.0013,129,270,245,220
"130",0.15,0.0013,130,317,244,220
"131",0.2,0.0013,131,317,247,220
"132",0.25,0.0013,132,273,246,220
"133",0.3,0.0013,133,271,245,220
"134",0,0.0014,134,300,300,204
"135",0.05,0.0014,135,300,300,204
"136",0.1,0.0014,136,300,300,204
"137",0.15,0.0014,137,300,300,204
"138",0.2,0.0014,138,300,300,204
"139",0.25,0.0014,139,301,300,204
"140",0.3,0.0014,140,303,303,204
"141",0,0.0015,141,293,212,190
