"","obs_error","rate_of_change","fisher_min_mean_ts60","log_fisher_min_mean_ts60","regime_shift_time_mean_ts60","fisher_diff_mean_ts60","fisher_log_diff_mean_ts60"
"1",0,-0.0011,260,230,92.3728813559322,-167.627118644068,-137.627118644068
"2",0,-0.001,230,210,102.525423728814,-127.474576271186,-107.474576271186
"3",0,-9e-04,260,230,112.677966101695,-147.322033898305,-117.322033898305
"4",0,-8e-04,270,230,132.983050847458,-137.016949152542,-97.0169491525424
"5",0,-7e-04,290,260,143.135593220339,-146.864406779661,-116.864406779661
"6",0,-6e-04,290,230,173.593220338983,-116.406779661017,-56.4067796610169
"7",0,-5e-04,320,300,193.898305084746,-126.101694915254,-106.101694915254
"8",0,-4e-04,340,360,254.813559322034,-85.1864406779661,-105.186440677966
"9",0,-3e-04,470,450,315.728813559322,-154.271186440678,-134.271186440678
"10",0,-2e-04,590,570,478.169491525424,-111.830508474576,-91.8305084745763
"11",0.05,-0.0011,233.1,219.7,92.3728813559322,-140.727118644068,-127.327118644068
"12",0.05,-0.001,231.8,215.4,102.525423728814,-129.274576271186,-112.874576271186
"13",0.05,-9e-04,254.8,228.8,112.677966101695,-142.122033898305,-116.122033898305
"14",0.05,-8e-04,266.8,243.6,132.983050847458,-133.816949152542,-110.616949152542
"15",0.05,-7e-04,275.7,256.5,143.135593220339,-132.564406779661,-113.364406779661
"16",0.05,-6e-04,274.6,247.7,173.593220338983,-101.006779661017,-74.1067796610169
"17",0.05,-5e-04,308.2,293.3,193.898305084746,-114.301694915254,-99.4016949152542
"18",0.05,-4e-04,359.9,363,254.813559322034,-105.086440677966,-108.186440677966
"19",0.05,-3e-04,470.3,449.8,315.728813559322,-154.571186440678,-134.071186440678
"20",0.05,-2e-04,576.7,578,478.169491525424,-98.5305084745763,-99.8305084745763
"21",0.1,-0.0011,233,221.6,92.3728813559322,-140.627118644068,-129.227118644068
"22",0.1,-0.001,233.2,217.2,102.525423728814,-130.674576271186,-114.674576271186
"23",0.1,-9e-04,251.2,227.3,112.677966101695,-138.522033898305,-114.622033898305
"24",0.1,-8e-04,256.8,246.2,132.983050847458,-123.816949152542,-113.216949152542
"25",0.1,-7e-04,276,252.4,143.135593220339,-132.864406779661,-109.264406779661
"26",0.1,-6e-04,280.3,250.2,173.593220338983,-106.706779661017,-76.6067796610169
"27",0.1,-5e-04,315.8,295,193.898305084746,-121.901694915254,-101.101694915254
"28",0.1,-4e-04,366,352.4,254.813559322034,-111.186440677966,-97.5864406779661
"29",0.1,-3e-04,469.7,448.5,315.728813559322,-153.971186440678,-132.771186440678
"30",0.1,-2e-04,586.4,577.3,478.169491525424,-108.230508474576,-99.1305084745763
"31",0.15,-0.0011,235.4,220.5,92.3728813559322,-143.027118644068,-128.127118644068
"32",0.15,-0.001,239,216.9,102.525423728814,-136.474576271186,-114.374576271186
"33",0.15,-9e-04,253.6,222.3,112.677966101695,-140.922033898305,-109.622033898305
"34",0.15,-8e-04,258.7,242,132.983050847458,-125.716949152542,-109.016949152542
"35",0.15,-7e-04,278.3,252.6,143.135593220339,-135.164406779661,-109.464406779661
"36",0.15,-6e-04,287.5,252.9,173.593220338983,-113.906779661017,-79.3067796610169
"37",0.15,-5e-04,316.3,299.5,193.898305084746,-122.401694915254,-105.601694915254
"38",0.15,-4e-04,367.4,350.3,254.813559322034,-112.586440677966,-95.4864406779661
"39",0.15,-3e-04,475.8,448.1,315.728813559322,-160.071186440678,-132.371186440678
"40",0.15,-2e-04,577.9,580.6,478.169491525424,-99.7305084745763,-102.430508474576
"41",0.2,-0.0011,238.5,224.7,92.3728813559322,-146.127118644068,-132.327118644068
"42",0.2,-0.001,244.8,220.4,102.525423728814,-142.274576271186,-117.874576271186
"43",0.2,-9e-04,248.5,223.5,112.677966101695,-135.822033898305,-110.822033898305
"44",0.2,-8e-04,265.1,234.5,132.983050847458,-132.116949152542,-101.516949152542
"45",0.2,-7e-04,281,245.8,143.135593220339,-137.864406779661,-102.664406779661
"46",0.2,-6e-04,286.9,253.7,173.593220338983,-113.306779661017,-80.1067796610169
"47",0.2,-5e-04,316.5,293.9,193.898305084746,-122.601694915254,-100.001694915254
"48",0.2,-4e-04,368.6,350,254.813559322034,-113.786440677966,-95.1864406779661
"49",0.2,-3e-04,471.4,444.7,315.728813559322,-155.671186440678,-128.971186440678
"50",0.2,-2e-04,582.6,582.5,478.169491525424,-104.430508474576,-104.330508474576
"51",0.25,-0.0011,241.1,219.5,92.3728813559322,-148.727118644068,-127.127118644068
"52",0.25,-0.001,246.6,219.3,102.525423728814,-144.074576271186,-116.774576271186
"53",0.25,-9e-04,248,220.6,112.677966101695,-135.322033898305,-107.922033898305
"54",0.25,-8e-04,267.7,240.9,132.983050847458,-134.716949152542,-107.916949152542
"55",0.25,-7e-04,280.7,243.8,143.135593220339,-137.564406779661,-100.664406779661
"56",0.25,-6e-04,295.2,260.5,173.593220338983,-121.606779661017,-86.9067796610169
"57",0.25,-5e-04,323.7,296.6,193.898305084746,-129.801694915254,-102.701694915254
"58",0.25,-4e-04,366,348.1,254.813559322034,-111.186440677966,-93.2864406779661
"59",0.25,-3e-04,469.5,443.2,315.728813559322,-153.771186440678,-127.471186440678
"60",0.25,-2e-04,588.3,583.2,478.169491525424,-110.130508474576,-105.030508474576
"61",0.3,-0.0011,243.7,231.2,92.3728813559322,-151.327118644068,-138.827118644068
"62",0.3,-0.001,249.1,220.8,102.525423728814,-146.574576271186,-118.274576271186
"63",0.3,-9e-04,253.6,221.7,112.677966101695,-140.922033898305,-109.022033898305
"64",0.3,-8e-04,275.1,235.2,132.983050847458,-142.116949152542,-102.216949152542
"65",0.3,-7e-04,275.7,243.2,143.135593220339,-132.564406779661,-100.064406779661
"66",0.3,-6e-04,298.4,253.1,173.593220338983,-124.806779661017,-79.5067796610169
"67",0.3,-5e-04,318.5,291.4,193.898305084746,-124.601694915254,-97.5016949152542
"68",0.3,-4e-04,359.1,343.6,254.813559322034,-104.286440677966,-88.7864406779661
"69",0.3,-3e-04,467.5,444.7,315.728813559322,-151.771186440678,-128.971186440678
"70",0.3,-2e-04,578.3,580.2,478.169491525424,-100.130508474576,-102.030508474576
