Column1,obs_error,rate_of_change,fisher_min_mean,log_fisher_min_mean,regime_shift_time_mean,fisher_diff_mean,fisher_log_diff_mean
1,0,-0.0011,128,125,86,-42,-39
2,0,-0.001,141,73,95,-46,22
3,0,-0.0009,157,155,105,-52,-50
4,0,-0.0008,162,159,118,-44,-41
5,0,-0.0007,190,106,135,-55,29
6,0,-0.0006,202,203,157,-45,-46
7,0,-0.0005,234,232,189,-45,-43
8,0,-0.0004,296,298,236,-60,-62
9,0,-0.0003,370,369,314,-56,-55
10,0,-0.0002,539,462,473,-66,11
11,0.05,-0.0011,128,125,86,-42,-39
12,0.05,-0.001,141.52,72.87,95,-46.52,22.13
13,0.05,-0.0009,156.91,155,105,-51.91,-50
14,0.05,-0.0008,162,159,118,-44,-41
15,0.05,-0.0007,190.01,105.45,135,-55.01,29.55
16,0.05,-0.0006,202.28,203.23,157,-45.28,-46.23
17,0.05,-0.0005,234.58,232.3,189,-45.58,-43.3
18,0.05,-0.0004,295.84,267.08,236,-59.84,-31.08
19,0.05,-0.0003,370,368.8,314,-56,-54.8
20,0.05,-0.0002,539.07,495.73,473,-66.07,-22.73
21,0.1,-0.0011,128.01,124.97,86,-42.01,-38.97
22,0.1,-0.001,142.7,72.7,95,-47.7,22.3
23,0.1,-0.0009,156.79,154.25,105,-51.79,-49.25
24,0.1,-0.0008,160.51,159.05,118,-42.51,-41.05
25,0.1,-0.0007,190.13,105.35,135,-55.13,29.65
26,0.1,-0.0006,202.23,203.01,157,-45.23,-46.01
27,0.1,-0.0005,234.6,232.46,189,-45.6,-43.46
28,0.1,-0.0004,296.09,260.55,236,-60.09,-24.55
29,0.1,-0.0003,370.02,368.75,314,-56.02,-54.75
30,0.1,-0.0002,542,510.03,473,-69,-37.03
31,0.15,-0.0011,128.05,124.96,86,-42.05,-38.96
32,0.15,-0.001,143.06,72.45,95,-48.06,22.55
33,0.15,-0.0009,156.73,154.35,105,-51.73,-49.35
34,0.15,-0.0008,161.96,159.13,118,-43.96,-41.13
35,0.15,-0.0007,190.18,102.38,135,-55.18,32.62
36,0.15,-0.0006,202.31,202.54,157,-45.31,-45.54
37,0.15,-0.0005,234.75,232.7,189,-45.75,-43.7
38,0.15,-0.0004,296.35,258.78,236,-60.35,-22.78
39,0.15,-0.0003,370.09,368.71,314,-56.09,-54.71
40,0.15,-0.0002,542.02,514.15,473,-69.02,-41.15
41,0.2,-0.0011,128.13,125.09,86,-42.13,-39.09
42,0.2,-0.001,143.54,72.37,95,-48.54,22.63
43,0.2,-0.0009,156.65,149.44,105,-51.65,-44.44
44,0.2,-0.0008,162.03,159.25,118,-44.03,-41.25
45,0.2,-0.0007,190.21,107.56,135,-55.21,27.44
46,0.2,-0.0006,202.46,202.63,157,-45.46,-45.63
47,0.2,-0.0005,234.82,232.96,189,-45.82,-43.96
48,0.2,-0.0004,297.04,245.1,236,-61.04,-9.1
49,0.2,-0.0003,370.26,368.76,314,-56.26,-54.76
50,0.2,-0.0002,545.05,521.78,473,-72.05,-48.78
51,0.25,-0.0011,127.16,125.16,86,-41.16,-39.16
52,0.25,-0.001,143.15,72.21,95,-48.15,22.79
53,0.25,-0.0009,155.82,140.06,105,-50.82,-35.06
54,0.25,-0.0008,162,159.29,118,-44,-41.29
55,0.25,-0.0007,190.3,116.09,135,-55.3,18.91
56,0.25,-0.0006,202.65,202.32,157,-45.65,-45.32
57,0.25,-0.0005,234.86,233.12,189,-45.86,-44.12
58,0.25,-0.0004,297.21,257.53,236,-61.21,-21.53
59,0.25,-0.0003,370.29,368.85,314,-56.29,-54.85
60,0.25,-0.0002,543.39,514.9,473,-70.39,-41.9
61,0.3,-0.0011,128.28,125.27,86,-42.28,-39.27
62,0.3,-0.001,140.09,71.96,95,-45.09,23.04
63,0.3,-0.0009,157.69,133.99,105,-52.69,-28.99
64,0.3,-0.0008,162.39,159.34,118,-44.39,-41.34
65,0.3,-0.0007,190.46,121.14,135,-55.46,13.86
66,0.3,-0.0006,202.54,201.97,157,-45.54,-44.97
67,0.3,-0.0005,234.95,233.4,189,-45.95,-44.4
68,0.3,-0.0004,297.3,253.62,236,-61.3,-17.62
69,0.3,-0.0003,370.49,369.08,314,-56.49,-55.08
70,0.3,-0.0002,542.23,512.8,473,-69.23,-39.8
