Column1,obs_error,rate_of_change,replicate,sim_fisher_min,sim_log_fisher_min,regime_shift_time
1,0,-0.0002,1,539,462,473
2,0.05,-0.0002,2,539,462,473
3,0.1,-0.0002,3,539,462,473
4,0.15,-0.0002,4,540,546,473
5,0.2,-0.0002,5,546,463,473
6,0.25,-0.0002,6,538,543,473
7,0.3,-0.0002,7,542,514,473
8,0,-0.0003,8,370,369,314
9,0.05,-0.0003,9,370,369,314
10,0.1,-0.0003,10,370,369,314
11,0.15,-0.0003,11,370,369,314
12,0.2,-0.0003,12,370,368,314
13,0.25,-0.0003,13,370,368,314
14,0.3,-0.0003,14,370,369,314
15,0,-0.0004,15,296,298,236
16,0.05,-0.0004,16,296,212,236
17,0.1,-0.0004,17,296,298,236
18,0.15,-0.0004,18,296,297,236
19,0.2,-0.0004,19,295,212,236
20,0.25,-0.0004,20,295,298,236
21,0.3,-0.0004,21,297,300,236
22,0,-0.0005,22,234,232,189
23,0.05,-0.0005,23,234,232,189
24,0.1,-0.0005,24,234,232,189
25,0.15,-0.0005,25,234,232,189
26,0.2,-0.0005,26,234,231,189
27,0.25,-0.0005,27,234,231,189
28,0.3,-0.0005,28,236,234,189
29,0,-0.0006,29,202,203,157
30,0.05,-0.0006,30,202,203,157
31,0.1,-0.0006,31,202,204,157
32,0.15,-0.0006,32,201,202,157
33,0.2,-0.0006,33,201,200,157
34,0.25,-0.0006,34,204,204,157
35,0.3,-0.0006,35,202,201,157
36,0,-0.0007,36,190,106,135
37,0.05,-0.0007,37,190,105,135
38,0.1,-0.0007,38,190,105,135
39,0.15,-0.0007,39,190,103,135
40,0.2,-0.0007,40,191,106,135
41,0.25,-0.0007,41,192,192,135
42,0.3,-0.0007,42,189,105,135
43,0,-0.0008,43,162,159,118
44,0.05,-0.0008,44,162,159,118
45,0.1,-0.0008,45,162,159,118
46,0.15,-0.0008,46,162,159,118
47,0.2,-0.0008,47,162,159,118
48,0.25,-0.0008,48,162,159,118
49,0.3,-0.0008,49,163,160,118
50,0,-0.0009,50,157,155,105
51,0.05,-0.0009,51,157,155,105
52,0.1,-0.0009,52,156,155,105
53,0.15,-0.0009,53,157,156,105
54,0.2,-0.0009,54,156,155,105
55,0.25,-0.0009,55,157,156,105
56,0.3,-0.0009,56,156,154,105
57,0,-0.001,57,141,73,95
58,0.05,-0.001,58,141,73,95
59,0.1,-0.001,59,141,73,95
60,0.15,-0.001,60,139,74,95
61,0.2,-0.001,61,139,73,95
62,0.25,-0.001,62,141,71,95
63,0.3,-0.001,63,151,71,95
64,0,-0.0011,64,128,125,86
65,0.05,-0.0011,65,128,125,86
66,0.1,-0.0011,66,128,125,86
67,0.15,-0.0011,67,129,126,86
68,0.2,-0.0011,68,128,125,86
69,0.25,-0.0011,69,127,124,86
70,0.3,-0.0011,70,129,126,86
